device,compute_capability,profile,prompt_tokens,generation_tokens,portable_mlx_tps,strict_tps,paired_geomean_gain_percent,ci95_low_percent,ci95_high_percent,exact_gate,condition
NVIDIA GeForce RTX 3090,sm86,strict_qk_default,128,512,179.386182,195.267232,8.513318,0.897131,16.704410,qk_arrays_exact_factorial_tokens_512,shared_host_co_tenant_active
NVIDIA GeForce RTX 3090,sm86,strict_qk_cached_lhs_opt_in,128,512,177.557590,209.575982,18.276986,5.184733,32.998820,qk_arrays_exact_random_tokens_1024_common_slice_artifacts_equal,shared_host_co_tenant_active
NVIDIA GeForce RTX 3090,sm86,strict_qk_default_fresh_process,128,512,145.890141,154.954658,6.059873,2.731295,9.496300,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.159.03_secure_cloud
NVIDIA GeForce RTX 3090,sm86,strict_qk_cached_lhs_opt_in_fresh_process,128,512,145.890141,159.732440,9.365713,5.732520,13.123750,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.159.03_secure_cloud
NVIDIA GeForce RTX 4090,sm89,strict_qk_default_fresh_process,128,512,182.364475,209.837973,15.313840,11.287455,19.485901,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.159.04
NVIDIA GeForce RTX 4090,sm89,strict_qk_cached_lhs_opt_in_fresh_process,128,512,182.364475,214.657719,18.009329,13.680361,22.503145,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.159.04
NVIDIA H100 80GB HBM3,sm90,strict_qk_default_fresh_process,128,512,202.618920,233.667781,15.238520,12.864118,17.662874,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.09
NVIDIA H100 80GB HBM3,sm90,strict_qk_cached_lhs_opt_in_fresh_process,128,512,202.618920,246.339923,21.542782,19.104325,24.031162,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.09
NVIDIA B200,sm100,strict_qk_default_fresh_process,128,512,241.510784,280.697581,16.279314,14.225461,18.370096,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.20
NVIDIA B200,sm100,strict_qk_cached_lhs_opt_in_fresh_process,128,512,241.510784,297.473622,23.368037,19.546096,27.312168,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.20
NVIDIA GeForce RTX 5090,sm120,strict_qk_default_fresh_process,128,512,398.489704,429.716430,7.842417,6.880805,8.812681,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.20
NVIDIA GeForce RTX 5090,sm120,strict_qk_cached_lhs_opt_in_fresh_process,128,512,398.489704,438.008535,9.923014,8.892593,10.963186,qk_arrays_random1024_multi_seed_common20x512_20x1024_exact,fresh_process_single_device_mlx_0.32.0_cuda_12.9_driver_580.126.20
